"Name","Projected K%"
"Johan Rojas","0.248"
"Tyler Wade","0.248"
"Mike Yastrzemski","0.248"
"Parker Meadows","0.248"
"Andrew Knizner","0.248"
"Henry Ramos","0.247"
"Luke Maile","0.247"
"Joey Bart","0.247"
"Dansby Swanson","0.247"
"Daniel Vogelbach","0.247"
"Jose Herrera","0.247"
"Jonathan Schoop","0.246"
"Josh Lowe","0.246"
"J.T. Realmuto","0.246"
"J.J. Bleday","0.246"
"Alex Kirilloff","0.246"
"Osleivis Basabe","0.246"
"Dairon Blanco","0.245"
"Mike Moustakas","0.245"
"Jorge Polanco","0.245"
"Lane Thomas","0.244"
"Akil Baddoo","0.244"
"Austin Riley","0.244"
"C.J. Cron","0.244"
"Luis Urias","0.244"
"Jake Marisnick","0.243"
"Enmanuel Valdez","0.243"
"Jace Peterson","0.243"
"Spencer Torkelson","0.243"
"Jorge Soler","0.243"
"Javier Baez","0.243"
"Julio Rodriguez","0.243"
"Jacob Stallings","0.243"
"Raimel Tapia","0.242"
"Jordan Diaz","0.242"
"Willi Castro","0.242"
"Jordan Westburg","0.242"
"Rowdy Tellez","0.241"
"Jorge Mateo","0.241"
"Jesse Winker","0.241"
"Harold Castro","0.241"
"Paul Goldschmidt","0.24"
"Curt Casali","0.24"
"Ji Hwan Bae","0.24"
"Edmundo Sosa","0.239"
"Kerry Carpenter","0.239"
"Reese McGuire","0.239"
"Rafael Ortega","0.238"
"Connor Joe","0.238"
"Eddie Rosario","0.238"
"Kevin Pillar","0.237"
"Mitch Garver","0.237"
"Mark Mathias","0.237"
"Travis d'Arnaud","0.237"
"Andrew McCutchen","0.236"
"Jason Delay","0.236"
"Willson Contreras","0.236"
"Jordan Walker","0.236"
"Jose Caballero","0.235"
"Jarren Duran","0.235"
"Kevin Kiermaier","0.235"
"Rougned Odor","0.235"
"Bryan De La Cruz","0.235"
"Bryce Harper","0.234"
"Corey Julks","0.234"
"Jake Alu","0.234"
"Pete Alonso","0.234"
"Tommy Pham","0.234"
"Christian Vazquez","0.233"
"Matt Olson","0.233"
"Royce Lewis","0.233"
"Garrett Stubbs","0.233"
"Salvador Perez","0.233"
"Marcell Ozuna","0.232"
"Fernando Tatis Jr.","0.232"
"Casey Schmitt","0.232"
"Josh Rojas","0.232"
"Christian Yelich","0.231"
"Aaron Hicks","0.231"
"Robbie Grossman","0.23"
"Carlos Correa","0.23"
"Sean Murphy","0.23"
"Austin Hedges","0.229"
"Tim Anderson","0.229"
"William Contreras","0.229"
"Bryan Reynolds","0.229"
"Anthony Rizzo","0.229"
"Eric Hosmer","0.229"
"Trea Turner","0.229"
"Hunter Renfroe","0.228"
"Brendan Rodgers","0.228"
"Danny Mendick","0.228"
"Michael Conforto","0.228"
"Ian Happ","0.228"
"Donovan Solano","0.227"
"Daulton Varsho","0.227"
"Terrin Vavra","0.226"
"Josh Smith","0.226"
"Tyrone Taylor","0.226"
"Endy Rodriguez","0.226"
"Vidal Brujan","0.226"
"A.J. Pollock","0.226"
"Lenyn Sosa","0.226"
"Curtis Mead","0.225"
"Elias Diaz","0.225"
"Matthew Batten","0.225"
"Jose Abreu","0.225"
"Miles Mastrobuoni","0.225"
"Kyle Farmer","0.224"
"Ryan Mountcastle","0.224"
"Alek Thomas","0.224"
"Yasmani Grandal","0.223"
"Seiya Suzuki","0.223"
"Jonathan India","0.222"
"Cedric Mullins II","0.222"
"Anthony Santander","0.222"
"Jon Singleton","0.221"
"Jose Azocar","0.221"
"Mike Tauchman","0.221"
"Randal Grichuk","0.22"
"Bo Naylor","0.22"
"DJ LeMahieu","0.22"
"Tyler Nevin","0.22"
"Josh Palacios","0.22"
"Jeimer Candelario","0.219"
"Brandon Nimmo","0.219"
"Spencer Steer","0.219"
"Andruw Monasterio","0.219"
"Josh Bell","0.219"
"Joey Wendle","0.219"
"Jeremy Pena","0.218"
"Leody Taveras","0.218"
"Nathaniel Lowe","0.218"
"Noelvi Marte","0.218"
"Derek Hill","0.218"
"Nick Senzel","0.217"
"Oswaldo Cabrera","0.217"
"Maikel Garcia","0.217"
"Alan Trejo","0.216"
"Thairo Estrada","0.216"
"Luis Guillorme","0.216"
"Emmanuel Rivera","0.216"
"Francisco Mejia","0.215"
"Joc Pederson","0.215"
"Kolten Wong","0.215"
"Austin Barnes","0.215"
"Christian Arroyo","0.215"
"Starling Marte","0.215"
"Andrew Vaughn","0.214"
"Miguel Cabrera","0.214"
"Kris Bryant","0.213"
"Eloy Jimenez","0.213"
"Ryan O'Hearn","0.213"
"Christian Walker","0.212"
"Esteury Ruiz","0.212"
"Freddy Fermin","0.211"
"Austin Wells","0.211"
"Jonah Bride","0.211"
"Zach McKinstry","0.21"
"Dominic Fletcher","0.21"
"Rob Refsnyder","0.21"
"Max Kepler","0.21"
"Michael Massey","0.209"
"Orlando Arcia","0.209"
"Carlos Perez","0.209"
"Carlos Perez","0.209"
"Danny Jansen","0.208"
"Kole Calhoun","0.208"
"Joey Meneses","0.207"
"Pavin Smith","0.207"
"Enrique Hernandez","0.207"
"Miguel Vargas","0.207"
"Victor Caratini","0.207"
"Gabriel Moreno","0.206"
"Austin Nola","0.206"
"Lars Nootbaar","0.205"
"Matt Vierling","0.205"
"LaMonte Wade Jr.","0.205"
"Brett Sullivan","0.205"
"Matt Duffy","0.204"
"Harold Ramirez","0.204"
"Brice Turang","0.204"
"Francisco Lindor","0.204"
"Yainer Diaz","0.204"
"Ke'Bryan Hayes","0.203"
"Isiah Kiner-Falefa","0.202"
"Yan Gomes","0.202"
"Jacob Young","0.202"
"Jake McCarthy","0.201"
"Rafael Devers","0.201"
"Dominic Canzone","0.201"
"J.P. Crawford","0.201"
"Corbin Carroll","0.2"
"Masyn Winn","0.2"
"Dylan Carlson","0.2"
"Taylor Ward","0.2"
"Luis Rengifo","0.2"
"Ha-seong Kim","0.199"
"Michael Harris II","0.199"
"Jake Fraley","0.199"
"Manny Machado","0.199"
"Matt Beaty","0.198"
"Kyle Isbel","0.198"
"Aledmys Diaz","0.198"
"Juan Soto","0.197"
"Yordan Alvarez","0.197"
"Harrison Bader","0.197"
"Andres Gimenez","0.197"
"Jonah Heim","0.197"
"Gavin Sheets","0.196"
"George Springer","0.196"
"Jon Berti","0.195"
"CJ Abrams","0.194"
"Owen Miller","0.193"
"Alex Call","0.192"
"Amed Rosario","0.192"
"Josh Harrison","0.192"
"Vaughn Grissom","0.191"
"Nick Martini","0.191"
"Manuel Margot","0.19"
"Corey Dickerson","0.19"
"Andy Ibanez","0.19"
"Xander Bogaerts","0.189"
"Elvis Andrus","0.189"
"Bobby Witt Jr.","0.188"
"Carlos Santana","0.188"
"Brad Miller","0.188"
"Nick Loftin","0.186"
"Edward Olivares","0.186"
"David Peralta","0.186"
"Corey Seager","0.186"
"Ty France","0.186"
"Jurickson Profar","0.185"
"Jason Heyward","0.185"
"Bo Bichette","0.185"
"Ketel Marte","0.184"
"Isaac Paredes","0.184"
"Geraldo Perdomo","0.182"
"Nick Fortes","0.182"
"T.J. Friedl","0.181"
"Justin Turner","0.181"
"Tyler Freeman","0.181"
"Omar Narvaez","0.18"
"Jose Miranda","0.18"
"Sam Haggerty","0.18"
"Jose Altuve","0.18"
"Jake Cronenworth","0.179"
"Nicky Lopez","0.178"
"Whit Merrifield","0.178"
"Lourdes Gurriel Jr.","0.178"
"Nolan Arenado","0.177"
"Mookie Betts","0.177"
"Mark Canha","0.177"
"Xavier Edwards","0.177"
"Myles Straw","0.176"
"Yandy Diaz","0.176"
"Freddie Freeman","0.175"
"Cody Bellinger","0.174"
"Vladimir Guerrero Jr.","0.173"
"Nick Allen","0.173"
"Alex Verdugo","0.172"
"Adam Frazier","0.172"
"Dominic Smith","0.171"
"Will Smith","0.171"
"Anthony Rendon","0.171"
"Gleyber Torres","0.171"
"Sal Frelick","0.169"
"Tommy Edman","0.169"
"Masataka Yoshida","0.168"
"Ozzie Albies","0.167"
"Yonathan Daza","0.166"
"Bryson Stott","0.165"
"Gio Urshela","0.164"
"Miguel Andujar","0.164"
"Marcus Semien","0.164"
"Jean Segura","0.164"
"Alec Bohm","0.163"
"Santiago Espinal","0.162"
"Tucupita Marcano","0.161"
"Andrew Benintendi","0.161"
"Nolan Schanuel","0.16"
"Victor Robles","0.159"
"Adley Rutschman","0.159"
