"Name","Projected wRC+"
"Will Brennan","90"
"Oswaldo Cabrera","90"
"Jose Siri","90"
"Mike Moustakas","89"
"Andres Gimenez","89"
"Ji Hwan Bae","89"
"Yasmani Grandal","89"
"Brian Anderson","89"
"Miguel Rojas","89"
"Aaron Hicks","89"
"Adam Frazier","89"
"Michael A. Taylor","88"
"Brice Turang","88"
"Thairo Estrada","88"
"Tony Kemp","88"
"Brandon Crawford","87"
"Edmundo Sosa","87"
"Kevin Kiermaier","86"
"Miguel Cabrera","86"
"Jake Meyers","86"
"Starling Marte","86"
"Jace Peterson","86"
"Nick Pratto","86"
"Josh Rojas","86"
"Jake McCarthy","85"
"Kyle Farmer","85"
"Elvis Andrus","84"
"Jean Segura","84"
"Elehuris Montero","84"
"Myles Straw","84"
"Aledmys Diaz","82"
"Nick Allen","82"
"Whit Merrifield","82"
"Brenton Doyle","82"
"Javier Baez","81"
"Tim Anderson","81"
"Esteury Ruiz","80"
"Christian Bethancourt","78"
"Joey Wendle","77"
"Paul DeJong","76"
"Eduardo Escobar","75"
"Christian Vazquez","75"
"Martin Maldonado","74"
